uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
uniqueid_5821,No,Urban,No,,50,Female,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_4255,No,Urban,Yes,3.0,41,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1238,No,Urban,No,2.0,32,Female,Spouse,Single/Never Married,No formal education,Informally employed
uniqueid_1043,No,Rural,Yes,1.0,29,Female,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_4250,No,Urban,Yes,1.0,40,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_1303,No,Rural,Yes,1.0,40,Female,Head of Household,Widowed,Secondary education,Informally employed
uniqueid_3921,No,Rural,Yes,,30,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1947,Yes,Rural,Yes,1.0,28,Male,Head of Household,Divorced/Seperated,Vocational/Specialised training,Self employed
uniqueid_2590,No,Urban,Yes,2.0,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5672,No,Urban,Yes,2.0,19,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_5065,No,Urban,Yes,2.0,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3004,No,Urban,Yes,2.0,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5300,No,Rural,No,3.0,70,Male,Spouse,Single/Never Married,No formal education,Remittance Dependent
uniqueid_1711,No,Urban,No,1.0,49,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4612,No,Urban,Yes,3.0,17,Female,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_117,No,Urban,Yes,5.0,48,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5873,No,Urban,Yes,1.0,42,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_4098,No,Urban,Yes,3.0,36,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_3057,No,Rural,Yes,2.0,32,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_711,No,Urban,Yes,3.0,47,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_3675,No,Rural,Yes,2.0,23,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5933,No,Urban,No,,20,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_1517,No,Urban,No,4.0,60,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_3410,No,Rural,Yes,4.0,17,Female,Other non-relatives,Divorced/Seperated,Primary education,Formally employed Private
uniqueid_6434,No,Urban,Yes,2.0,35,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1095,No,Urban,Yes,1.0,24,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent
uniqueid_5310,No,Urban,No,1.0,40,Female,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_4674,No,Urban,Yes,3.0,42,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_6226,No,Urban,No,4.0,17,Male,Parent,Divorced/Seperated,Secondary education,No Income
uniqueid_5296,No,Urban,Yes,6.0,19,Male,Parent,Divorced/Seperated,Tertiary education,Informally employed
uniqueid_799,No,Urban,No,3.0,24,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_1982,Yes,Rural,Yes,1.0,42,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
uniqueid_371,No,Urban,Yes,2.0,26,Male,Child,Divorced/Seperated,Primary education,Self employed
uniqueid_1129,No,Urban,No,3.0,45,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_2397,No,Urban,No,1.0,56,Male,Head of Household,Widowed,No formal education,Self employed
uniqueid_746,No,Rural,Yes,2.0,25,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
uniqueid_1557,No,Urban,No,2.0,20,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_45,No,Urban,Yes,5.0,74,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_4163,No,Urban,Yes,2.0,32,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_1333,No,Rural,Yes,2.0,42,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3337,No,Urban,Yes,4.0,30,Male,Other relative,Divorced/Seperated,Secondary education,Formally employed Private
uniqueid_6187,Yes,Rural,Yes,2.0,50,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
uniqueid_2663,No,Rural,No,1.0,32,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_1646,No,Urban,Yes,1.0,30,Female,Head of Household,Divorced/Seperated,Tertiary education,Self employed
uniqueid_2151,No,Rural,Yes,1.0,23,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_3875,No,Urban,No,2.0,62,Female,Head of Household,Widowed,No formal education,Government Dependent
uniqueid_5488,No,Urban,Yes,4.0,24,Female,Child,Divorced/Seperated,No formal education,Self employed
uniqueid_5277,No,Urban,No,1.0,58,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_544,No,Urban,No,,25,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5014,No,Urban,No,2.0,37,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_769,No,Urban,No,,22,Female,Other relative,Single/Never Married,Primary education,Informally employed
uniqueid_4820,No,Rural,Yes,2.0,37,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_3635,No,Urban,Yes,3.0,40,Female,Child,Widowed,Primary education,Self employed
uniqueid_672,Yes,Rural,Yes,,41,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_4294,No,Urban,No,1.0,32,Female,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_6399,No,Urban,Yes,2.0,42,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3529,No,Urban,No,2.0,76,Female,Spouse,Single/Never Married,No formal education,Informally employed
uniqueid_6364,No,Urban,Yes,3.0,25,Male,Parent,Single/Never Married,Primary education,Self employed
uniqueid_4910,No,Urban,No,,16,Male,Parent,Divorced/Seperated,Secondary education,No Income
uniqueid_785,No,Urban,Yes,3.0,38,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_3047,No,Rural,Yes,2.0,22,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_840,No,Urban,Yes,,30,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_2729,No,Urban,No,1.0,45,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6166,Yes,Rural,Yes,2.0,30,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_508,No,Urban,No,2.0,36,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_5554,Yes,Rural,Yes,2.0,39,Female,Spouse,Single/Never Married,Secondary education,Informally employed
uniqueid_5282,No,Urban,No,2.0,85,Female,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_4166,No,Urban,No,2.0,25,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5937,No,Urban,Yes,4.0,43,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1910,No,Urban,Yes,2.0,38,Male,Head of Household,Single/Never Married,Primary education,Government Dependent
uniqueid_4089,No,Urban,Yes,2.0,60,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5979,No,Urban,No,2.0,63,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6298,No,Urban,No,5.0,18,Male,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_6429,No,Urban,Yes,2.0,35,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4162,No,Urban,Yes,2.0,39,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5164,No,Rural,Yes,,27,Male,Child,Divorced/Seperated,Secondary education,Informally employed
uniqueid_3466,No,Urban,Yes,1.0,39,Female,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_1804,No,Urban,Yes,2.0,18,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4510,No,Urban,No,2.0,32,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_3695,Yes,Urban,Yes,2.0,26,Female,Spouse,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_5023,No,Urban,No,4.0,18,Female,Parent,Divorced/Seperated,Tertiary education,Self employed
uniqueid_2466,No,Rural,No,5.0,44,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5113,No,Rural,Yes,3.0,63,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1145,No,Rural,Yes,2.0,27,Female,Head of Household,Married/Living together,Primary education,Formally employed Private
uniqueid_2927,No,Rural,Yes,3.0,35,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_5492,No,Urban,Yes,2.0,68,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent
uniqueid_40,Yes,Urban,Yes,4.0,63,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_4661,No,Rural,Yes,2.0,28,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_1370,No,Urban,No,2.0,33,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_1389,No,Urban,Yes,3.0,36,Male,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5422,No,Rural,Yes,2.0,50,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5953,No,Urban,No,1.0,38,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_4144,No,Rural,No,3.0,29,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1141,No,Urban,No,3.0,48,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_1480,No,Urban,Yes,3.0,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_85,No,Rural,Yes,,42,Female,Head of Household,Divorced/Seperated,Tertiary education,Formally employed Private
uniqueid_6296,No,Urban,No,2.0,39,Female,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_1851,No,Urban,Yes,3.0,23,Female,Child,Divorced/Seperated,Primary education,No Income
uniqueid_3381,No,Urban,Yes,2.0,28,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_3912,No,Urban,No,2.0,27,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_4190,No,Rural,No,1.0,65,Female,Head of Household,Widowed,No formal education,Other Income
uniqueid_5666,No,Urban,No,4.0,18,Female,Parent,Single/Never Married,Primary education,Self employed
uniqueid_3717,No,Rural,Yes,3.0,65,Female,Head of Household,Widowed,No formal education,Informally employed
uniqueid_4604,No,Urban,No,1.0,20,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3341,Yes,Urban,Yes,2.0,26,Female,Spouse,Single/Never Married,Vocational/Specialised training,Formally employed Private
uniqueid_4279,No,Urban,Yes,2.0,30,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_3053,No,Urban,No,2.0,45,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4325,No,Rural,No,,71,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2078,Yes,Urban,No,2.0,44,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_561,No,Rural,Yes,4.0,26,Female,Parent,Divorced/Seperated,Primary education,Informally employed
uniqueid_3333,No,Rural,Yes,1.0,42,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_1128,No,Rural,Yes,2.0,41,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_4257,No,Urban,Yes,,53,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6209,Yes,Rural,Yes,2.0,59,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
uniqueid_2732,No,Rural,No,5.0,40,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
uniqueid_3370,No,Urban,Yes,2.0,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_473,No,Urban,No,1.0,36,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2338,No,Rural,Yes,2.0,32,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_5550,No,Urban,No,2.0,25,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_5501,No,Urban,No,2.0,21,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_1983,Yes,Urban,Yes,5.0,51,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2807,No,Urban,Yes,1.0,27,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3659,No,Urban,No,3.0,22,Male,Parent,Divorced/Seperated,Tertiary education,Self employed
uniqueid_142,No,Rural,No,2.0,25,Female,Spouse,Single/Never Married,Secondary education,Informally employed
uniqueid_4289,No,Urban,Yes,2.0,41,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_812,No,Rural,No,2.0,16,Male,Parent,Divorced/Seperated,Secondary education,Remittance Dependent
uniqueid_754,No,Urban,No,1.0,53,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_4769,No,Urban,No,1.0,60,Male,Head of Household,Divorced/Seperated,No formal education,Self employed
uniqueid_4603,No,Rural,Yes,2.0,22,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_2540,No,Urban,Yes,2.0,33,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_3528,No,Urban,Yes,,49,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_1202,No,Urban,No,4.0,48,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2012,No,Rural,Yes,4.0,67,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5357,No,Urban,No,,69,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_183,No,Urban,Yes,3.0,37,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_1709,No,Urban,Yes,2.0,57,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_3905,No,Rural,No,,24,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6458,No,Urban,No,1.0,28,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
uniqueid_3561,No,Urban,Yes,1.0,34,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent
uniqueid_4138,Yes,Rural,Yes,,35,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_6229,Yes,Rural,Yes,2.0,30,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_5614,No,Urban,No,4.0,18,Female,Parent,Divorced/Seperated,Secondary education,No Income
uniqueid_1500,No,Urban,Yes,3.0,42,Male,Head of Household,Single/Never Married,Primary education,Informally employed
